code	name
KH	HOLDEN
KK	CORVETTE
KM	HUMMER
KP	PLYMOUTH
KR	CHEVROLET
KS	R-VISION
KT	EUROLINER
L0	CITROEN
L1	PEUGEOT
L2	RENAULT
L3	SIMCA
L4	CHRYSLER
L5	SAVIEM
L6	DODGE
L7	TALBOT
L8	PEUGEOT
L9	UNKNOWN
LA	SCORPA
LB	VENTURI
LC	AIXAM
LD	MICROCAR
LE	RENAULT
LF	CHAUSSON
LG	LIGIER
LH	MCC
LJ	"RENAULT TRUCKS"
LK	SMART
LL	PEUGEOT
LM	CITROEN
LN	MIA
LP	PEUGEOT
LQ	CITROEN
LR	RENAULT
LS	RENAULT
LT	GOUPIL
LU	MATHIEU
LV	DS
LW	PILOTE
M0	BMW
M1	FORD
M2	MERCEDES
M3	AUDI
M4	NSU
M5	OPEL
M6	PORSCHE
M7	VOLKSWAGEN
M8	MAN
M9	UNKNOWN
MA	FORD
MB	FORD
MC	VOLKSWAGEN
MD	MERCEDES
ME	MAYBACH
MF	"CI MOTORHOME"
MH	BMW
MJ	AUDI
MK	BMW
ML	VOLKSWAGEN
MM	MERCEDES-BENZ
MN	FORD
MP	BMW
MR	VOLKSWAGEN
MT	AUDI
MV	MERCEDES-BENZ
N0	"ALFA ROMEO"
N1	FIAT
N2	MASERATI
N3	LANCIA
N4	TALBOT
N5	NISSAN
N6	IVECO
N7	DEMM
N8	CAPRI
N9	UNKNOWN
NA	IVECO-FORD
NB	BUGATTI
NC	"DE TOMASO"
ND	FERRARI
NE	LAMBORGHINI
NF	IRIS.BUS
NG	SITCAR
NH	TRIGANO
NJ	PIAGGIO
NK	BREMACH
NL	ABARTH
NM	FIAT
NP	FIAT
P0	DAF
P1	VOLVO
P2	SAAB
P3	SCANIA
P4	BULTACO
P5	"MAGIRUS DEUTZ"
P6	EBRO
P7	SEAT
P8	CASAL
P9	UNKNOWN
PA	SUZUKI
PB	"LEYLAND DAF"
PC	PEGASO
PD	STEYR
PE	MAHINDRA
PF	"IVECO FORD"
PG	"MOKE AUTOMIBILI"
PH	"GAS GAS"
